"""customer_id""","""store_id""","""first_name""","""last_name""","""email""","""address_id""","""active""",[
1,1," ""MARY"""," ""SMITH"""," ""MARY.SMITH@sakilacustomer.org""",5,1,"{""customer_id"":1,""store_id"":1,""first_name"": ""MARY"",""last_name"": ""SMITH"",""email"": ""MARY.SMITH@sakilacustomer.org"",""address_id"":5,""active"":1},"
2,1," ""PATRICIA"""," ""JOHNSON"""," ""PATRICIA.JOHNSON@sakilacustomer.org""",6,1,"{""customer_id"":2,""store_id"":1,""first_name"": ""PATRICIA"",""last_name"": ""JOHNSON"",""email"": ""PATRICIA.JOHNSON@sakilacustomer.org"",""address_id"":6,""active"":1},"
3,1," ""LINDA"""," ""WILLIAMS"""," ""LINDA.WILLIAMS@sakilacustomer.org""",7,1,"{""customer_id"":3,""store_id"":1,""first_name"": ""LINDA"",""last_name"": ""WILLIAMS"",""email"": ""LINDA.WILLIAMS@sakilacustomer.org"",""address_id"":7,""active"":1},"
4,2," ""BARBARA"""," ""JONES"""," ""BARBARA.JONES@sakilacustomer.org""",8,1,"{""customer_id"":4,""store_id"":2,""first_name"": ""BARBARA"",""last_name"": ""JONES"",""email"": ""BARBARA.JONES@sakilacustomer.org"",""address_id"":8,""active"":1},"
5,1," ""ELIZABETH"""," ""BROWN"""," ""ELIZABETH.BROWN@sakilacustomer.org""",9,1,"{""customer_id"":5,""store_id"":1,""first_name"": ""ELIZABETH"",""last_name"": ""BROWN"",""email"": ""ELIZABETH.BROWN@sakilacustomer.org"",""address_id"":9,""active"":1},"
6,2," ""JENNIFER"""," ""DAVIS"""," ""JENNIFER.DAVIS@sakilacustomer.org""",10,1,"{""customer_id"":6,""store_id"":2,""first_name"": ""JENNIFER"",""last_name"": ""DAVIS"",""email"": ""JENNIFER.DAVIS@sakilacustomer.org"",""address_id"":10,""active"":1},"
7,1," ""MARIA"""," ""MILLER"""," ""MARIA.MILLER@sakilacustomer.org""",11,1,"{""customer_id"":7,""store_id"":1,""first_name"": ""MARIA"",""last_name"": ""MILLER"",""email"": ""MARIA.MILLER@sakilacustomer.org"",""address_id"":11,""active"":1},"
8,2," ""SUSAN"""," ""WILSON"""," ""SUSAN.WILSON@sakilacustomer.org""",12,1,"{""customer_id"":8,""store_id"":2,""first_name"": ""SUSAN"",""last_name"": ""WILSON"",""email"": ""SUSAN.WILSON@sakilacustomer.org"",""address_id"":12,""active"":1},"
9,2," ""MARGARET"""," ""MOORE"""," ""MARGARET.MOORE@sakilacustomer.org""",13,1,"{""customer_id"":9,""store_id"":2,""first_name"": ""MARGARET"",""last_name"": ""MOORE"",""email"": ""MARGARET.MOORE@sakilacustomer.org"",""address_id"":13,""active"":1},"
10,1," ""DOROTHY"""," ""TAYLOR"""," ""DOROTHY.TAYLOR@sakilacustomer.org""",14,1,"{""customer_id"":10,""store_id"":1,""first_name"": ""DOROTHY"",""last_name"": ""TAYLOR"",""email"": ""DOROTHY.TAYLOR@sakilacustomer.org"",""address_id"":14,""active"":1},"
11,2," ""LISA"""," ""ANDERSON"""," ""LISA.ANDERSON@sakilacustomer.org""",15,1,"{""customer_id"":11,""store_id"":2,""first_name"": ""LISA"",""last_name"": ""ANDERSON"",""email"": ""LISA.ANDERSON@sakilacustomer.org"",""address_id"":15,""active"":1},"
12,1," ""NANCY"""," ""THOMAS"""," ""NANCY.THOMAS@sakilacustomer.org""",16,1,"{""customer_id"":12,""store_id"":1,""first_name"": ""NANCY"",""last_name"": ""THOMAS"",""email"": ""NANCY.THOMAS@sakilacustomer.org"",""address_id"":16,""active"":1},"
13,2," ""KAREN"""," ""JACKSON"""," ""KAREN.JACKSON@sakilacustomer.org""",17,1,"{""customer_id"":13,""store_id"":2,""first_name"": ""KAREN"",""last_name"": ""JACKSON"",""email"": ""KAREN.JACKSON@sakilacustomer.org"",""address_id"":17,""active"":1},"
